id;title;maker;culture;period;creation_date;object_name;medium;description;credit_line;filename;dimensions;element_type;size_s_m_l
401;Figurine of a mummy;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_64.jpg;Overall: 14 x 11 in. (35.5 x 27.9 cm);Overall;medium
12273;Mask with flaking paint (detail);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_65.jpg;Overall: 14 x 11 in. (35.5 x 27.9 cm);Overall;medium
13770;Lion sculpture;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_66.jpg;Overall: 14 x 11 in. (35.5 x 27.9 cm);Overall;medium
7674;Cat sculpture;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_67.jpg;Overall: 13 15/16 x 11 in. (35.4 x 27.9 cm);Overall;medium
6392;Sculpture of male head;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_69.jpg;Overall: 13 15/16 x 10 15/16 in. (35.4 x 27.8 cm);Overall;medium
6711;Egyptian head;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_70.jpg;Overall: 11 1/4 x 14 5/16 in. (28.6 x 36.3 cm);Overall;medium
4961;Egyptian head;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_71.jpg;Overall: 11 1/4 x 14 in. (28.6 x 35.5 cm);Overall;medium
11627;Vessel in form of acrobat;Wayne Wadhams;;;1981;photograph;color photograph;;Gift of Wayne N. Wadhams;87_16_72.jpg;Overall: 14 x 10 15/16 in. (35.5 x 27.8 cm);Overall;medium
13742;Vessel in form of acrobat;Wayne Wadhams;;;1981;photograph;color photograph;;Gift of Wayne N. Wadhams;87_16_73.jpg;Overall: 14 x 10 15/16 in. (35.5 x 27.8 cm);Overall;medium
11424;Column carving (detail);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_74.jpg;Overall: 11 x 13 15/16 in. (27.9 x 35.4 cm);Overall;medium
1244;Sculpture of head (in profile);Wayne Wadhams;;;1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_75.jpg;Overall: 13 7/8 x 11 in. (35.3 x 27.9 cm);Overall;medium
3825;Gold ornament in animal form;Wayne Wadhams;;;1981;photograph;color photograph;;Gift of Wayne N. Wadhams;87_16_76.jpg;Overall: 14 x 11 in. (35.5 x 27.9 cm);Overall;medium
7951;Mask with earrings;Wayne Wadhams;;;c. 1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_77.jpg;Overall: 14 x 10 15/16 in. (35.5 x 27.8 cm);Overall;medium
12413;Standing figure;Wayne Wadhams;;;1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_78.jpg;Overall: 13 7/8 x 10 15/16 in. (35.3 x 27.8 cm);Overall;medium
12526;Christ with female figure;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_79.jpg;Overall: 13 7/8 x 11 in. (35.3 x 27.9 cm);Overall;medium
13626;Male figure with lion;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_80.jpg;Overall: 13 15/16 x 11 in. (35.4 x 27.9 cm);Overall;medium
6477;Male head in profile;Wayne Wadhams;;;c. 1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_81.jpg;Overall: 14 x 10 15/16 in. (35.5 x 27.8 cm);Overall;medium
7130;Sculpture of cloaked figure;Wayne Wadhams;;;c. 1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_82.jpg;Overall: 13 15/16 x 10 15/16 in. (35.4 x 27.8 cm);Overall;medium
2818;Egyptian tablet (detail);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_83.jpg;Overall: 11 x 13 15/16 in. (27.9 x 35.4 cm);Overall;medium
295;Male figure;Wayne Wadhams;;;c. 1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_84.jpg;Overall: 11 x 13 15/16 in. (27.9 x 35.4 cm);Overall;medium
8771;Male head in profile;Wayne Wadhams;;;c. 1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_85.jpg;Overall: 14 x 10 3/4 in. (35.5 x 27.3 cm);Overall;medium
12905;Male head in profile;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_86.jpg;Overall: 13 15/16 x 10 15/16 in. (35.4 x 27.8 cm);Overall;medium
4887;Egyptian braclet;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_87.jpg;Overall: 7 15/16 x 9 15/16 in. (20.2 x 25.2 cm);Overall;small
8766;Egyptian braclet;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_88.jpg;Overall: 7 15/16 x 9 15/16 in. (20.2 x 25.2 cm);Overall;small
7037;Female figure;Wayne Wadhams;;;1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_89.jpg;Overall: 9 13/16 x 7 13/16 in. (25 x 19.8 cm);Overall;small
7217;Male head with earring;Wayne Wadhams;;;1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_90.jpg;Overall: 9 15/16 x 8 in. (25.2 x 20.3 cm);Overall;small
7914;Bird ornament;Wayne Wadhams;;;c. 1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_91.jpg;Overall: 8 x 10 in. (20.3 x 25.4 cm);Overall;small
11859;Beetle ornament;Wayne Wadhams;;;c. 1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_92.jpg;Overall: 8 x 9 15/16 in. (20.3 x 25.2 cm);Overall;small
14655;Skeleton figure;Wayne Wadhams;;;c. 1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_93.jpg;Overall: 13 15/16 x 11 in. (35.4 x 27.9 cm);Overall;medium
3712;Egyptian figure;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_94.jpg;Overall: 14 x 10 15/16 in. (35.5 x 27.8 cm);Overall;medium
